-66100	-24200
-70400	-25800
-78879.85313	-24997.84707
-77255.76719	-25689.41348
-75678.90742	-27609.29453
-73908.66289	-26354.83086
-72573.98047	-26660.24355
-67415.65117	-21099.36641
-66462.47891	-23838.79336
-63707.54023	-20636.89316
-61586.4043	-21765.24785
-58726.42656	-19374.58066
-59739.95078	-19709.65977
-59648.8168	-18647.66738
-52164.75781	-19198.45186
-54470.75352	-14973.92705
-53474.06328	-18136.03311
-51617.3707	-17461.63809
-51796.42227	-14252.38291
-53185.4793	-17554.02852
-51272.43945	-15042.80771
-50576.62539	-14646.84932
-50700.57109	-16526.7375
-47433.55859	-15440.04951
-48532.83867	-14552.8874
-46212.00762	-14898.45527
-49298.89883	-15060.32598
-45692.32441	-14207.88086
-43836.31797	-14469.62227
-49158.96758	-14156.93467
-46071.57227	-14947.52988
-44061.65098	-14902.31875
-44312.14766	-13513.83369
-44350.07695	-13498.6043
-42118.63223	-14020.60732
-43037.94941	-13953.43252
-44101.10156	-12787.954
-40624.03398	-13228.78174
-42588.9375	-13419.55078
-41956.40957	-11920.76572
-40018.56191	-12937.31465
-38341.01543	-12525.64473
-40774.0207	-12729.95088
-43686.6834	-13637.16563
-40988.57539	-12588.9877
-41944.15098	-12683.26016
-41430.11191	-13375.57969
-41067.24336	-11536.24678
-40927.36328	-12601.07148
-39836.63594	-11870.28311
-38028.55605	-11475.81094
-36912.98008	-11921.95977
-40370.35801	-13214.24424
-39946.42109	-11619.82266
-38715.30645	-11404.14482
-39890.71074	-12855.85801
-37682.33379	-12287.26807
-39193.25098	-11704.66689
-37251.91523	-12004.1001
-39716.88457	-10552.85889
-35156.18965	-9813.632422
-36322.16836	-11596.88262
-36792.10508	-10323.12861
-38280.74746	-12425.98643
-38580.92773	-11394.95488
-39970.95996	-11649.24541
-35525.64551	-11825.39189
-37067.08984	-11201.95283
-36568.18691	-10643.35557
-37322.39102	-10513.54893
-39880.43438	-10748.38584
-36380.52539	-10364.577
-34972.6418	-10953.60205
-36251.92578	-11417.69883
-36184.9332	-11082.43916
-35787.58359	-10377.77842
-36119.9709	-9630.194824
-36340.9957	-10034.11758
-33815.6291	-10404.31621
-35528.08457	-9803.765137
-37713.26953	-9523.780273
-33782.38301	-10815.15347
-33484.07891	-11224.32275
-34928.41777	-9576.818652
-34501.31641	-11146.97334
-34535.15781	-10099.49111
-32023.39785	-10415.18408
-34389.04473	-9780.075098
-36009.35273	-11175.87285
-34456.80352	-10453.3002
-35522.29316	-10210.86123
-34467.77598	-11476.07422
-37887.96094	-8843.884668
-35530.6623	-11774.94521
-35285.89951	-9428.151465
-35096.25527	-9252.116797
-35150.74512	-10690.98184
-33937.87285	-10093.58594
-33924.06113	-9429.837402
-35625.97578	-9795.572949
-31669.43643	-9430.4
-32274.20977	-9970.9
-28868.42715	-10088.5
-29168.92598	-11024
-26257.38809	-11303.7
-26294.8377	-11199.9
-33483.52813	-12826.6
-41330.98281	-12347.4
-53756.55508	-15804
-65662.69063	-18049.9
-70968.21953	-21376.5
-68357.84375	-25195.5
