100	20	1
100.0167	5	1
100.034	1	1
100.051	1	1
100.068	1	1
100.085	1	1
100.1021	1	1
100.1191	1	1
100.1361	1	1
100.1532	1	1
100.1702	1	1
100.1872	1	1
100.2043	1	1
100.2213	1	1
100.2383	1	1
100.2554	1	1
100.2724	1	1
100.2894	1	1
100.3065	1	1
100.3235	1	1
100.3405	1	1
100.3576	1	1
100.3746	1	1
100.3916	1	1
100.4087	1	1
100.4257	1	1
100.4427	1	1
100.4598	1	1
100.4768	1	1
100.4938	1	1
100.5109	1	1
100.5279	1	1
100.5449	1	1
100.562	1	1
100.579	1	1
100.596	1	1
100.6131	1	1
100.6301	1	1
100.6471	1	1
100.6642	1	1
100.6812	1	1
100.6982	1	1
100.7153	1	1
100.7323	1	1
100.7493	1	1
100.7664	1	1
100.7834	1	1
100.8004	1	1
100.8175	1	1
100.8345	1	1
100.8515	1	1
100.8686	1	1
100.8856	1	1
100.9026	1	1
100.9197	1	1
100.9367	1	1
100.9537	1	1
100.9708	1	1
100.9878	1	1
101.0048	1	1
101.0219	1	1
101.0389	1	1
101.0559	1	1
101.073	1	1
101.09	1	1
101.107	1	1
101.1241	1	1
101.1411	1	1
101.1581	1	1
101.1752	1	1
101.1922	1	1
101.2092	1	1
101.2263	1	1
101.2433	1	1
101.2603	1	1
101.2774	1	1
101.2944	1	1
101.3114	1	1
101.3285	1	1
101.3455	1	1
101.3625	1	1
101.3796	1	1
101.3966	1	1
101.4136	1	1
101.4307	1	1
101.4477	1	1
101.4647	1	1
101.4818	1	1
101.4988	1	1
101.5158	1	1
101.5329	1	1
101.5499	1	1
101.5669	1	1
101.584	1	1
101.601	1	1
101.618	1	1
101.6351	1	1
101.6521	1	1
101.6691	1	1
101.6862	1	1
101.7112	3	1
101.7362	3	1
101.7862	3	1
101.8862	3	1
102.1862	3	1
102.6862	3	1
103.6862	3	1
106.6862	3	1
111.6862	3	1
121.6862	3	1
151.6862	3	1
201.6862	3	1
