3.264133e+00	3.264133e+00	
7.348599e-01	7.348599e-01	
1.295946e-01	1.295946e-01	
3.361909e-02	3.361909e-02	
1.910570e-02	1.910570e-02	
1.551987e-02	1.551987e-02	
1.371132e-02	1.371132e-02	
1.214949e-02	1.214949e-02	
1.087810e-02	1.087810e-02	
9.896222e-03	9.896222e-03	
8.942946e-03	8.942946e-03	
8.190592e-03	8.190592e-03	
7.630694e-03	7.630694e-03	
7.074955e-03	7.074955e-03	
6.647270e-03	6.647270e-03	
6.360973e-03	6.360973e-03	
6.039618e-03	6.039618e-03	
5.800504e-03	5.800504e-03	
5.661118e-03	5.661118e-03	
5.468163e-03	5.468163e-03	
5.329573e-03	5.329573e-03	
5.263469e-03	5.263469e-03	
5.143115e-03	5.143115e-03	
5.054549e-03	5.054549e-03	
5.027233e-03	5.027233e-03	
4.937513e-03	4.937513e-03	
4.880911e-03	4.880911e-03	
4.871565e-03	4.871565e-03	
4.799129e-03	4.799129e-03	
4.752671e-03	4.752671e-03	
4.758423e-03	4.758423e-03	
4.693643e-03	4.693643e-03	
4.653889e-03	4.653889e-03	
4.661139e-03	4.661139e-03	
4.606607e-03	4.606607e-03	
4.569047e-03	4.569047e-03	
4.578255e-03	4.578255e-03	
4.523447e-03	4.523447e-03	
4.493050e-03	4.493050e-03	
4.501742e-03	4.501742e-03	
4.448450e-03	4.448450e-03	
4.416193e-03	4.416193e-03	
4.430206e-03	4.430206e-03	
4.376684e-03	4.376684e-03	
4.344945e-03	4.344945e-03	
4.358865e-03	4.358865e-03	
4.306330e-03	4.306330e-03	
4.275190e-03	4.275190e-03	
4.286060e-03	4.286060e-03	
4.239162e-03	4.239162e-03	
4.207079e-03	4.207079e-03	
4.217457e-03	4.217457e-03	
4.168377e-03	4.168377e-03	
4.141386e-03	4.141386e-03	
4.150115e-03	4.150115e-03	
4.101460e-03	4.101460e-03	
4.071993e-03	4.071993e-03	
4.085029e-03	4.085029e-03	
4.035680e-03	4.035680e-03	
4.006312e-03	4.006312e-03	
4.016264e-03	4.016264e-03	
3.972061e-03	3.972061e-03	
3.941717e-03	3.941717e-03	
3.951133e-03	3.951133e-03	
3.904842e-03	3.904842e-03	
3.879233e-03	3.879233e-03	
3.887073e-03	3.887073e-03	
3.841171e-03	3.841171e-03	
3.813238e-03	3.813238e-03	
3.825102e-03	3.825102e-03	
3.778559e-03	3.778559e-03	
3.750727e-03	3.750727e-03	
3.762231e-03	3.762231e-03	
3.716341e-03	3.716341e-03	
3.688872e-03	3.688872e-03	
3.697613e-03	3.697613e-03	
3.656512e-03	3.656512e-03	
3.628176e-03	3.628176e-03	
3.636439e-03	3.636439e-03	
3.593449e-03	3.593449e-03	
3.569497e-03	3.569497e-03	
3.576329e-03	3.576329e-03	
3.533729e-03	3.533729e-03	
3.507668e-03	3.507668e-03	
3.518218e-03	3.518218e-03	
3.475063e-03	3.475063e-03	
3.449124e-03	3.449124e-03	
3.457037e-03	3.457037e-03	
3.418362e-03	3.418362e-03	
3.391625e-03	3.391625e-03	
3.399104e-03	3.399104e-03	
3.358684e-03	3.358684e-03	
3.336065e-03	3.336065e-03	
3.342218e-03	3.342218e-03	
3.302188e-03	3.302188e-03	
3.277617e-03	3.277617e-03	
3.287257e-03	3.287257e-03	
3.246730e-03	3.246730e-03	
3.222293e-03	3.222293e-03	
3.231653e-03	3.231653e-03	
5.831250e-03	5.831250e-03	
6.983146e-03	6.983146e-03	
2.279492e-02	2.279492e-02	
9.315971e-02	9.315971e-02	
5.686556e-01	5.686556e-01	
1.348012e+00	1.348012e+00	
2.394081e+00	2.394081e+00	
3.152253e+00	3.152253e+00	
3.204529e+00	3.204529e+00	
3.228179e+00	3.228179e+00	
3.252210e+00	3.252210e+00	
3.260779e+00	3.260779e+00	
